หัวข้อ (Topic),คำอธิบาย (Description),คำสั่ง SQL (Syntax),ตัวอย่าง (Example)
What is SQL (SQL คืออะไร),SQL (Structured Query Language) คือภาษามาตรฐานที่ใช้สำหรับเข้าถึงและจัดการฐานข้อมูล,-,-
SQL Statements (คำสั่ง SQL),"การจัดการฐานข้อมูลส่วนใหญ่จะใช้คำสั่ง SQL ซึ่งประกอบด้วยคีย์เวิร์ดที่เข้าใจง่าย เช่น SELECT, UPDATE, DELETE เป็นต้น",KEYWORD column_name FROM table_name;,SELECT * FROM Customers;
SELECT Statement (คำสั่ง SELECT),ใช้สำหรับดึงข้อมูล (Select data) จากฐานข้อมูล โดยข้อมูลที่ดึงมาจะถูกเก็บไว้ในตารางผลลัพธ์ (Result-set),"SELECT column1, column2 FROM table_name;","SELECT CustomerName, City FROM Customers;"
SELECT DISTINCT (ข้อมูลไม่ซ้ำ),ใช้เพื่อดึงเฉพาะข้อมูลที่ไม่ซ้ำกัน (Unique values) ออกมา ในกรณีที่คอลัมน์นั้นมีค่าที่ซ้ำกันหลายรายการ,"SELECT DISTINCT column1, column2 FROM table_name;",SELECT DISTINCT Country FROM Customers;
WHERE Clause (เงื่อนไข WHERE),ใช้สำหรับกรองข้อมูล (Filter records) ให้แสดงเฉพาะรายการที่ตรงตามเงื่อนไขที่กำหนด,"SELECT column1, column2 FROM table_name WHERE condition;",SELECT * FROM Customers WHERE Country = 'Mexico';
ORDER BY (การเรียงลำดับ),ใช้สำหรับเรียงลำดับผลลัพธ์ที่ได้ โดยค่าเริ่มต้นจะเรียงจากน้อยไปมาก (ASC) หากต้องการเรียงจากมากไปน้อยให้ใช้ DESC,"SELECT column1, column2 FROM table_name ORDER BY column1, column2 ASC|DESC;",SELECT * FROM Products ORDER BY Price DESC;
AND Operator (ตัวดำเนินการ AND),ใช้ร่วมกับ WHERE เพื่อกรองข้อมูลที่ต้องตรงตามเงื่อนไข 'ทุกเงื่อนไข' (ต้องเป็นจริงทั้งคู่),SELECT column1 FROM table_name WHERE condition1 AND condition2;,SELECT * FROM Customers WHERE Country = 'Germany' AND City = 'Berlin';
OR Operator (ตัวดำเนินการ OR),ใช้ร่วมกับ WHERE เพื่อกรองข้อมูลที่ตรงกับเงื่อนไข 'อย่างน้อยหนึ่งเงื่อนไข' (เป็นจริงอย่างใดอย่างหนึ่งก็พอ),SELECT column1 FROM table_name WHERE condition1 OR condition2;,SELECT * FROM Customers WHERE City = 'Berlin' OR City = 'München';
NOT Operator (ตัวดำเนินการ NOT),ใช้ร่วมกับ WHERE เพื่อกรองข้อมูลที่ 'ไม่ตรง' กับเงื่อนไขที่กำหนด (ให้ผลตรงกันข้าม),"SELECT column1, column2 FROM table_name WHERE NOT condition;",SELECT * FROM Customers WHERE NOT Country = 'Spain';
INSERT INTO (การเพิ่มข้อมูล),ใช้เพิ่มข้อมูลแถวใหม่ (New records) ลงในตาราง,"INSERT INTO table_name (column1, column2) VALUES (value1, value2);","INSERT INTO Customers (CustomerName, City) VALUES ('Cardinal', 'Stavanger');"
NULL Values (ค่าว่าง NULL),NULL หมายถึงข้อมูลที่หายไปหรือไม่ทราบค่า (ไม่ใช่ค่า 0 หรือช่องว่าง) ตรวจสอบค่า NULL ได้ด้วย IS NULL หรือ IS NOT NULL,SELECT column_names FROM table_name WHERE column_name IS NULL;,SELECT CustomerName FROM Customers WHERE Address IS NULL;
UPDATE (การแก้ไขข้อมูล),ใช้สำหรับแก้ไขข้อมูลที่มีอยู่แล้วในตาราง **คำเตือน:** ควรระบุเงื่อนไข WHERE เสมอ หากไม่ระบุ ข้อมูลจะถูกเปลี่ยนทั้งตาราง,"UPDATE table_name SET column1 = value1, column2 = value2 WHERE condition;",UPDATE Customers SET ContactName = 'Alfred' WHERE CustomerID = 1;
DELETE (การลบข้อมูล),ใช้สำหรับลบข้อมูลออกจากตาราง **คำเตือน:** ต้องระบุเงื่อนไข WHERE เสมอเพื่อระบุว่าจะลบข้อมูลใด,DELETE FROM table_name WHERE condition;,DELETE FROM Customers WHERE CustomerName = 'Alfreds Futterkiste';
SELECT TOP / LIMIT (การจำกัดจำนวน),ใช้จำกัดจำนวนแถวของข้อมูลที่จะแสดงผล ซึ่งมีประโยชน์มากสำหรับตารางขนาดใหญ่ (ใช้ TOP ใน SQL Server หรือ LIMIT ใน MySQL),SELECT column_name(s) FROM table_name LIMIT number;,SELECT * FROM Customers LIMIT 3;
MIN() Function (ฟังก์ชันค่าน้อยสุด),ฟังก์ชันสรุปผลที่ใช้หาค่าที่น้อยที่สุดในคอลัมน์ที่กำหนด,SELECT MIN(column_name) FROM table_name WHERE condition;,SELECT MIN(Price) AS SmallestPrice FROM Products;
MAX() Function (ฟังก์ชันค่ามากสุด),ฟังก์ชันสรุปผลที่ใช้หาค่าที่มากที่สุดในคอลัมน์ที่กำหนด,SELECT MAX(column_name) FROM table_name WHERE condition;,SELECT MAX(Price) AS LargestPrice FROM Products;
COUNT() Function (ฟังก์ชันนับจำนวน),ใช้นับจำนวนแถวข้อมูลที่ตรงตามเงื่อนไขที่กำหนด หากใช้ COUNT(*) จะเป็นการนับจำนวนแถวทั้งหมดในตาราง,SELECT COUNT(column_name) FROM table_name WHERE condition;,SELECT COUNT(ProductID) FROM Products;
SUM() Function (ฟังก์ชันหาผลรวม),ใช้สำหรับคำนวณหาผลรวมทั้งหมดของค่าในคอลัมน์ที่เป็นตัวเลข (Numeric column) โดยจะละเว้นค่า NULL,SELECT SUM(column_name) FROM table_name WHERE condition;,SELECT SUM(Quantity) FROM OrderDetails;
AVG() Function (ฟังก์ชันหาค่าเฉลี่ย),ใช้สำหรับคำนวณหาค่าเฉลี่ยของข้อมูลในคอลัมน์ที่เป็นตัวเลข โดยจะละเว้นค่า NULL,SELECT AVG(column_name) FROM table_name WHERE condition;,SELECT AVG(Price) FROM Products;
LIKE Operator (การค้นหารูปแบบข้อความ),ใช้ร่วมกับ WHERE เพื่อค้นหาข้อความตามรูปแบบที่กำหนด (Pattern) มักใช้คู่กับเครื่องหมาย Wildcard เช่น % หรือ _,SELECT column1 FROM table_name WHERE columnN LIKE pattern;,SELECT * FROM Customers WHERE CustomerName LIKE 'a%';
Wildcard Characters (เครื่องหมาย Wildcard),สัญลักษณ์ที่ใช้แทนตัวอักษรในการค้นหา เช่น % แทนตัวอักษรใดๆ ตั้งแต่ 0 ตัวขึ้นไป และ _ แทนตัวอักษรใดๆ 1 ตัว,SELECT column1 FROM table_name WHERE columnN LIKE '%pattern_';,SELECT * FROM Customers WHERE City LIKE '_ondon';
IN Operator (การระบุรายการเงื่อนไข),ใช้ช่วยให้กำหนดค่าในเงื่อนไข WHERE ได้หลายๆ ค่าพร้อมกัน เทียบเท่ากับการใช้เงื่อนไข OR ซ้ำๆ,"SELECT column_name(s) FROM table_name WHERE column_name IN (value1, value2, ...);","SELECT * FROM Customers WHERE Country IN ('Germany', 'France', 'UK');"
BETWEEN Operator (การค้นหาช่วงข้อมูล),ใช้ค้นหาข้อมูลที่อยู่ในช่วงที่กำหนด (รวมถึงค่าเริ่มต้นและค่าสิ้นสุดด้วย) ใช้ได้ทั้งตัวเลข ข้อความ และวันที่,SELECT column_name(s) FROM table_name WHERE column_name BETWEEN value1 AND value2;,SELECT * FROM Products WHERE Price BETWEEN 10 AND 20;
